Year,Visitors (million),Beer consumption (million liters)
2024,6.70,7.00
2023,7.20,7.20
2022,5.70,5.60
2019,6.30,7.30
2018,6.30,7.50
2017,6.20,7.50
2016,5.60,6.60
2015,5.90,7.30
2014,6.30,7.70
2013,6.40,6.70
2012,6.40,7.40
2011,6.90,7.50
2010,6.40,7.00
2009,5.70,6.50
2008,6.00,6.49
2007,6.20,6.94
2006,6.50,6.86
2005,6.10,6.10
2004,5.90,6.12
2003,6.30,6.23
2002,5.90,5.76
2001,5.50,4.87
2000,6.90,6.46
1999,6.50,6.00
1998,6.50,5.48
1997,6.40,5.59
1996,6.90,5.26
1995,6.70,5.02
1994,6.60,5.21
1993,6.50,5.19
1992,5.90,4.89
1991,6.40,5.47
1990,6.70,5.43
1989,6.20,5.12
1988,5.70,5.10
1987,6.50,5.28
1986,6.70,5.38
1985,7.10,5.45
1984,7.00,4.97
1983,6.60,4.58
1982,5.80,4.33
1981,6.20,4.24
1980,5.10,3.84
